"","Num","Treatment","Name","Hatchery","PhylumOther","sum_abun"
"244",48,"C","T7","MK","Proteobacteria",95.0237341772152
"245",48,"C","T7","MK","Unknown",0.799050632911392
"246",48,"C","T7","MK","Others",1.03639240506329
"247",49,"S4","T7","MK","Bacteroidota",2.33913502109705
"248",49,"S4","T7","MK","Firmicutes",0.443037974683544
"249",49,"S4","T7","MK","Myxococcota",0.733122362869198
"250",49,"S4","T7","MK","Proteobacteria",94.7020042194093
"251",49,"S4","T7","MK","Unknown",0.319092827004219
"252",49,"S4","T7","MK","Others",1.46360759493671
"253",50,"S4","T7","MK","Bacteroidota",2.12816455696203
"254",50,"S4","T7","MK","Firmicutes",0.208333333333333
"255",50,"S4","T7","MK","Myxococcota",0.337552742616034
"256",50,"S4","T7","MK","Proteobacteria",95.287447257384
"257",50,"S4","T7","MK","Unknown",0.290084388185654
"258",50,"S4","T7","MK","Others",1.74841772151899
"259",51,"S4","T7","MK","Bacteroidota",1.60337552742616
"260",51,"S4","T7","MK","Firmicutes",0.274261603375527
"261",51,"S4","T7","MK","Myxococcota",0.595991561181435
"262",51,"S4","T7","MK","Proteobacteria",95.7964135021097
"263",51,"S4","T7","MK","Unknown",0.403481012658228
"264",51,"S4","T7","MK","Others",1.32647679324895
"265",52,"S4","T7","MK","Bacteroidota",2.96413502109705
"266",52,"S4","T7","MK","Firmicutes",0.263713080168776
"267",52,"S4","T7","MK","Myxococcota",0.37710970464135
"268",52,"S4","T7","MK","Proteobacteria",94.9208860759494
"269",52,"S4","T7","MK","Unknown",0.29535864978903
"270",52,"S4","T7","MK","Others",1.17879746835443
"271",54,"C","T8_NUV","RWU","Bacteroidota",0.487869198312236
"272",54,"C","T8_NUV","RWU","Firmicutes",14.6518987341772
"273",54,"C","T8_NUV","RWU","Myxococcota",0.00791139240506329
"274",54,"C","T8_NUV","RWU","Proteobacteria",84.1086497890295
"275",54,"C","T8_NUV","RWU","Unknown",0.593354430379747
"276",54,"C","T8_NUV","RWU","Others",0.150316455696203
"277",55,"C","T8_NUV","RWU","Bacteroidota",0.537974683544304
"278",55,"C","T8_NUV","RWU","Firmicutes",13.5073839662447
"279",55,"C","T8_NUV","RWU","Myxococcota",0.00527426160337553
"280",55,"C","T8_NUV","RWU","Proteobacteria",85.8834388185654
"281",55,"C","T8_NUV","RWU","Unknown",0.0527426160337553
"282",55,"C","T8_NUV","RWU","Others",0.0131856540084388
"283",56,"C","T8_NUV","RWU","Bacteroidota",1.59810126582278
"284",56,"C","T8_NUV","RWU","Firmicutes",6.94356540084388
"285",56,"C","T8_NUV","RWU","Myxococcota",0.00527426160337553
"286",56,"C","T8_NUV","RWU","Proteobacteria",91.1155063291139
"287",56,"C","T8_NUV","RWU","Unknown",0.142405063291139
"288",56,"C","T8_NUV","RWU","Others",0.195147679324895
"289",57,"S4","T8_NUV","RWU","Bacteroidota",0.332278481012658
"290",57,"S4","T8_NUV","RWU","Firmicutes",2.96413502109705
"291",57,"S4","T8_NUV","RWU","Myxococcota",0
"292",57,"S4","T8_NUV","RWU","Proteobacteria",96.4978902953586
"293",57,"S4","T8_NUV","RWU","Unknown",0.089662447257384
"294",57,"S4","T8_NUV","RWU","Others",0.116033755274262
"295",58,"S4","T8_NUV","RWU","Bacteroidota",0.87289029535865
"296",58,"S4","T8_NUV","RWU","Firmicutes",5.16350210970464
"297",58,"S4","T8_NUV","RWU","Myxococcota",0.0105485232067511
"298",58,"S4","T8_NUV","RWU","Proteobacteria",93.5258438818565
"299",58,"S4","T8_NUV","RWU","Unknown",0.287447257383966
"300",58,"S4","T8_NUV","RWU","Others",0.139767932489451
"301",59,"S4","T8_NUV","RWU","Bacteroidota",0.35337552742616
"302",59,"S4","T8_NUV","RWU","Firmicutes",17.2863924050633
"303",59,"S4","T8_NUV","RWU","Myxococcota",0.0210970464135021
"304",59,"S4","T8_NUV","RWU","Proteobacteria",81.8855485232068
"305",59,"S4","T8_NUV","RWU","Unknown",0.166139240506329
"306",59,"S4","T8_NUV","RWU","Others",0.287447257383966
"307",60,"C","T8_UV","RWU","Bacteroidota",1.47943037974684
"308",60,"C","T8_UV","RWU","Firmicutes",0.0817510548523207
"309",60,"C","T8_UV","RWU","Myxococcota",0.00527426160337553
"310",60,"C","T8_UV","RWU","Proteobacteria",98.2120253164557
"311",60,"C","T8_UV","RWU","Unknown",0.0342827004219409
"312",60,"C","T8_UV","RWU","Others",0.187236286919831
"313",61,"C","T8_UV","RWU","Bacteroidota",0.477320675105485
"314",61,"C","T8_UV","RWU","Firmicutes",0.110759493670886
"315",61,"C","T8_UV","RWU","Myxococcota",0.0210970464135021
"316",61,"C","T8_UV","RWU","Proteobacteria",99.1508438818565
"317",61,"C","T8_UV","RWU","Unknown",0.0817510548523207
"318",61,"C","T8_UV","RWU","Others",0.158227848101266
"319",62,"C","T8_UV","RWU","Bacteroidota",0.0369198312236287
"320",62,"C","T8_UV","RWU","Firmicutes",0.0870253164556962
"321",62,"C","T8_UV","RWU","Myxococcota",0.0105485232067511
"322",62,"C","T8_UV","RWU","Proteobacteria",99.4119198312236
"323",62,"C","T8_UV","RWU","Unknown",0.0474683544303797
"324",62,"C","T8_UV","RWU","Others",0.406118143459916
"325",63,"S4","T8_UV","RWU","Bacteroidota",0.0197784810126582
"326",63,"S4","T8_UV","RWU","Firmicutes",0.205696202531646
"327",63,"S4","T8_UV","RWU","Myxococcota",0
"328",63,"S4","T8_UV","RWU","Proteobacteria",99.4224683544304
"329",63,"S4","T8_UV","RWU","Unknown",0.0197784810126582
"330",63,"S4","T8_UV","RWU","Others",0.332278481012658
"331",64,"S4","T8_UV","RWU","Bacteroidota",0.195147679324895
"332",64,"S4","T8_UV","RWU","Firmicutes",1.37394514767932
"333",64,"S4","T8_UV","RWU","Myxococcota",0
"334",64,"S4","T8_UV","RWU","Proteobacteria",98.1988396624473
"335",64,"S4","T8_UV","RWU","Unknown",0.0949367088607595
"336",64,"S4","T8_UV","RWU","Others",0.137130801687764
"337",65,"S4","T8_UV","RWU","Bacteroidota",0.195147679324895
"338",65,"S4","T8_UV","RWU","Firmicutes",0.82542194092827
"339",65,"S4","T8_UV","RWU","Myxococcota",0
"340",65,"S4","T8_UV","RWU","Proteobacteria",98.7051687763713
"341",65,"S4","T8_UV","RWU","Unknown",0.126582278481013
"342",65,"S4","T8_UV","RWU","Others",0.147679324894515
